movie_id,avg(rating)
496,4.121212121212121
471,3.6108597285067874
463,3.859154929577465
148,3.203125
1342,2.5
833,3.204081632653061
1088,2.230769230769231
1591,3.1666666666666665
1238,3.125
1580,1.0
1645,4.0
392,3.5441176470588234
623,2.923076923076923
540,2.511627906976744
858,1.0
737,2.983050847457627
243,2.4393939393939394
1025,2.9318181818181817
1084,3.857142857142857
1127,2.909090909090909
1395,2.3333333333333335
1522,2.4285714285714284
1483,3.4166666666666665
1507,3.0
897,1.5
1460,3.0
516,3.9682539682539684
1139,2.606060606060606
31,3.6298701298701297
1322,2.3333333333333335
1270,2.2857142857142856
1143,4.0
1303,2.3333333333333335
1339,1.0
1650,4.0
1618,1.0
1352,1.0
451,3.347058823529412
137,3.9005847953216373
251,4.260869565217392
85,3.0344827586206895
580,3.375
808,2.838709677419355
1265,3.0526315789473686
65,3.5391304347826087
879,3.2720588235294117
883,3.230769230769231
458,3.1222222222222222
1223,3.5
255,3.36046511627907
588,3.792079207920792
53,2.953125
898,3.2241379310344827
1157,2.88
481,3.9365079365079363
970,3.25
804,2.875
799,3.2
133,3.854651162790698
472,3.0822784810126582
853,3.857142857142857
1466,4.0
296,3.3333333333333335
322,3.0871559633027523
1016,3.45985401459854
78,2.4545454545454546
513,4.333333333333333
1133,2.966666666666667
1005,3.6818181818181817
918,3.0
673,3.5232558139534884
321,3.1301775147928996
961,3.6176470588235294
974,3.03125
1160,3.6153846153846154
633,4.057971014492754
362,2.8214285714285716
613,4.037037037037037
857,3.0
1533,4.0
597,3.150485436893204
593,3.1666666666666665
375,1.9565217391304348
1199,2.869565217391304
876,2.702127659574468
976,1.8333333333333333
1212,2.8333333333333335
1417,2.5
1468,3.3333333333333335
1653,5.0
744,3.4565217391304346
155,3.1020408163265305
683,2.4081632653061225
950,2.9
108,3.076923076923077
1561,1.0
1331,3.0
1525,4.0
193,3.917197452229299
796,3.0833333333333335
368,1.903225806451613
211,3.912621359223301
642,3.4831460674157304
1198,3.142857142857143
530,4.025
34,2.7142857142857144
1068,3.1666666666666665
1404,3.230769230769231
1344,3.2
1537,4.0
1675,3.0
756,2.8984375
126,3.804123711340206
1165,1.8571428571428572
115,3.7333333333333334
772,3.061224489795918
101,3.26027397260274
1183,2.210526315789474
1500,5.0
1378,2.2
385,3.5625
81,3.5545454545454547
847,3.727272727272727
874,3.2564102564102564
939,3.6
830,1.0
1226,3.375
1259,2.0
183,4.034364261168385
436,3.5353535353535355
210,3.930513595166163
28,3.931159420289855
1175,3.4
1441,2.5714285714285716
1031,2.2857142857142856
1426,3.25
1496,2.8
1201,5.0
596,3.377952755905512
762,3.391304347826087
497,3.838235294117647
1051,3.2439024390243905
1274,1.7272727272727273
1296,3.25
1415,2.4444444444444446
1510,3.0
1243,3.7142857142857144
1621,1.0
787,3.230769230769231
842,3.1481481481481484
406,2.4489795918367347
1034,2.5185185185185186
412,2.3978494623655915
300,3.6310904872389793
1030,2.25
1163,2.68
784,1.0
1489,2.2
1156,3.0
1064,4.25
731,3.1538461538461537
587,3.5714285714285716
988,2.313953488372093
1276,2.5
1307,1.5
1574,1.0
688,1.8409090909090908
723,3.1470588235294117
76,3.4074074074074074
1372,3.0
1480,2.272727272727273
667,2.1666666666666665
914,2.727272727272727
332,3.4615384615384617
26,3.452054794520548
501,3.4959349593495936
577,2.2195121951219514
626,3.25
27,3.1052631578947367
1493,1.0
1235,4.0
1634,2.0
384,2.782608695652174
831,2.4615384615384617
1019,3.967741935483871
1294,3.142857142857143
1269,3.9
271,3.2322274881516586
44,3.3417721518987342
908,2.5
1350,1.5
192,4.120689655172414
743,1.9487179487179487
844,3.357142857142857
606,4.045454545454546
159,3.227722772277228
811,3.9444444444444446
1135,2.9782608695652173
916,3.1666666666666665
1418,3.6666666666666665
806,3.46
253,3.6923076923076925
1210,2.736842105263158
1148,3.3333333333333335
1363,1.0
1280,2.6875
460,3.0
103,1.8666666666666667
329,3.3333333333333335
236,3.6222222222222222
1085,3.0
1056,3.2
1398,4.5
984,2.8636363636363638
12,4.385767790262173
350,3.1463414634146343
1046,3.1739130434782608
1260,2.75
1093,3.0869565217391304
336,2.627906976744186
973,3.5
860,2.25
223,4.198529411764706
738,2.838709677419355
417,3.095890410958904
602,3.7
1208,2.85
548,2.1666666666666665
388,2.392857142857143
409,3.142857142857143
926,2.702970297029703
91,3.5874125874125875
663,3.9051724137931036
578,3.152173913043478
1077,3.125
1564,1.0
1659,1.0
333,3.593625498007968
707,3.9285714285714284
1215,1.9333333333333333
822,3.0
1582,1.0
1457,3.0
1290,1.5
222,3.66027397260274
285,4.265432098765432
875,2.7358490566037736
1249,2.8333333333333335
1324,2.4
601,4.0
1565,1.0
209,3.905759162303665
685,3.356687898089172
1295,2.5714285714285716
604,4.012345679012346
22,4.151515151515151
128,3.5384615384615383
1065,3.490566037735849
995,3.161290322580645
1332,2.0
372,3.5294117647058822
330,3.024390243902439
727,3.4603174603174605
1125,4.25
1469,3.1666666666666665
1550,3.0
625,3.3292682926829267
686,3.68
230,3.4472361809045227
122,2.339622641509434
319,3.2738095238095237
493,4.15
1291,2.2
1176,3.3636363636363638
1583,1.0
232,3.207920792079208
758,1.7142857142857142
225,2.908256880733945
190,4.137096774193548
233,3.2903225806451615
93,3.7232142857142856
157,3.6929133858267718
924,3.4
1506,3.6666666666666665
1633,3.0
346,3.642857142857143
246,3.935483870967742
360,3.2
476,3.01875
367,3.458823529411765
1061,2.9310344827586206
725,2.75
855,3.727272727272727
539,2.477272727272727
861,2.3333333333333335
599,1.0
1588,2.0
111,3.485294117647059
1197,3.5555555555555554
654,4.136054421768708
519,4.1
224,3.7045454545454546
1505,4.0
47,3.601503759398496
1207,2.2941176470588234
1456,3.7142857142857144
1477,2.5
416,3.484375
140,3.2131147540983607
177,3.8613138686131387
556,2.5
827,2.7719298245614037
1244,2.9166666666666665
1425,2.6
711,4.0
1300,2.3333333333333335
1055,3.2
1613,4.0
132,4.0772357723577235
1114,3.3
665,2.83
152,3.6341463414634148
671,3.608695652173913
1206,2.6842105263157894
444,2.717391304347826
305,3.6436781609195403
185,4.100418410041841
696,3.1392405063291138
747,3.4607843137254903
355,2.926829268292683
882,3.2941176470588234
618,3.611111111111111
694,4.045454545454546
353,2.4285714285714284
1586,1.0
1512,4.0
